numX,Rsq,N,Lambda,Alpha,Type,Power
1,0.02,250,0.25,0.01,MLR,0.333
1,0.02,500,0.25,0.01,MLR,0.649824912
1,0.02,1000,0.25,0.01,MLR,0.94739479
1,0.07,50,0.25,0.01,MLR,0.26
1,0.07,100,0.25,0.01,MLR,0.486243122
1,0.07,150,0.25,0.01,MLR,0.708354177
1,0.07,250,0.25,0.01,MLR,0.927
1,0.07,500,0.25,0.01,MLR,0.99949975
1,0.07,1000,0.25,0.01,MLR,1
1,0.13,50,0.25,0.01,MLR,0.486
1,0.13,100,0.25,0.01,MLR,0.832416208
1,0.13,150,0.25,0.01,MLR,0.956478239
1,0.13,250,0.25,0.01,MLR,0.9985
1,0.13,500,0.25,0.01,MLR,1
1,0.13,1000,0.25,0.01,MLR,1
1,0.26,50,0.25,0.01,MLR,0.8725
1,0.26,100,0.25,0.01,MLR,0.993
1,0.26,150,0.25,0.01,MLR,0.99949975
1,0.26,250,0.25,0.01,MLR,1
1,0.26,500,0.25,0.01,MLR,1
1,0.26,1000,0.25,0.01,MLR,1
1,0.02,50,0.15,0.01,ML,0.062
1,0.02,100,0.15,0.01,ML,0.115557779
1,0.02,150,0.15,0.01,ML,0.1605
1,0.02,250,0.15,0.01,ML,0.3045
1,0.02,500,0.15,0.01,ML,0.606803402
1,0.02,1000,0.15,0.01,ML,0.922344689
1,0.07,50,0.15,0.01,ML,0.2315
1,0.07,100,0.15,0.01,ML,0.468734367
1,0.07,150,0.15,0.01,ML,0.674337169
1,0.07,250,0.15,0.01,ML,0.9065
1,0.07,500,0.15,0.01,ML,0.996998499
1,0.07,1000,0.15,0.01,ML,1
1,0.13,50,0.15,0.01,ML,0.448
1,0.13,100,0.15,0.01,ML,0.804902451
1,0.13,150,0.15,0.01,ML,0.935
1,0.13,250,0.15,0.01,ML,0.9965
1,0.13,500,0.15,0.01,ML,1
1,0.13,1000,0.15,0.01,ML,1
1,0.26,50,0.15,0.01,ML,0.865
1,0.26,100,0.15,0.01,ML,0.9915
1,0.26,150,0.15,0.01,ML,0.9989995
1,0.26,250,0.15,0.01,ML,1
1,0.26,500,0.15,0.01,ML,1
1,0.26,1000,0.15,0.01,ML,1
1,0.02,50,0.25,0.01,ML,0.067
1,0.02,100,0.25,0.01,ML,0.1245
1,0.02,150,0.25,0.01,ML,0.176
1,0.02,250,0.25,0.01,ML,0.334
1,0.02,500,0.25,0.01,ML,0.642821411
1,0.02,1000,0.25,0.01,ML,0.943386774
1,0.07,50,0.25,0.01,ML,0.242
1,0.07,100,0.25,0.01,ML,0.498249125
1,0.07,150,0.25,0.01,ML,0.705852926
1,0.07,250,0.25,0.01,ML,0.926
1,0.07,500,0.25,0.01,ML,0.9989995
1,0.07,1000,0.25,0.01,ML,1
1,0.13,50,0.25,0.01,ML,0.4745
1,0.13,100,0.25,0.01,ML,0.837918959
1,0.13,150,0.25,0.01,ML,0.953476738
1,0.13,250,0.25,0.01,ML,0.999
1,0.13,500,0.25,0.01,ML,1
1,0.13,1000,0.25,0.01,ML,1
1,0.26,50,0.25,0.01,ML,0.8955
1,0.26,100,0.25,0.01,ML,0.9955
1,0.26,150,0.25,0.01,ML,0.99949975
1,0.26,250,0.25,0.01,ML,1
1,0.26,500,0.25,0.01,ML,1
1,0.26,1000,0.25,0.01,ML,1
1,0.02,50,0.15,0.01,BayesYJ,0.0505
1,0.02,100,0.15,0.01,BayesYJ,0.127563782
1,0.02,150,0.15,0.01,BayesYJ,0.1975
1,0.02,250,0.15,0.01,BayesYJ,0.379
1,0.02,500,0.15,0.01,BayesYJ,0.729364682
1,0.02,1000,0.15,0.01,BayesYJ,0.973947896
1,0.07,50,0.15,0.01,BayesYJ,0.2315
1,0.07,100,0.15,0.01,BayesYJ,0.537268634
1,0.07,150,0.15,0.01,BayesYJ,0.770385193
1,0.07,250,0.15,0.01,BayesYJ,0.9595
1,0.07,500,0.15,0.01,BayesYJ,1
1,0.07,1000,0.15,0.01,BayesYJ,1
1,0.13,50,0.15,0.01,BayesYJ,0.4825
1,0.13,100,0.15,0.01,BayesYJ,0.87993997
1,0.13,150,0.15,0.01,BayesYJ,0.9775
1,0.13,250,0.15,0.01,BayesYJ,0.9995
1,0.13,500,0.15,0.01,BayesYJ,1
1,0.13,1000,0.15,0.01,BayesYJ,1
1,0.26,50,0.15,0.01,BayesYJ,0.909
1,0.26,100,0.15,0.01,BayesYJ,0.9985
1,0.26,150,0.15,0.01,BayesYJ,1
1,0.26,250,0.15,0.01,BayesYJ,1
1,0.26,500,0.15,0.01,BayesYJ,1
1,0.26,1000,0.15,0.01,BayesYJ,1
1,0.02,50,0.25,0.01,BayesYJ,0.0505
1,0.02,100,0.25,0.01,BayesYJ,0.1275
1,0.02,150,0.25,0.01,BayesYJ,0.1985
1,0.02,250,0.25,0.01,BayesYJ,0.379
1,0.02,500,0.25,0.01,BayesYJ,0.729364682
1,0.02,1000,0.25,0.01,BayesYJ,0.973947896
1,0.07,50,0.25,0.01,BayesYJ,0.2325
1,0.07,100,0.25,0.01,BayesYJ,0.537268634
1,0.07,150,0.25,0.01,BayesYJ,0.770385193
1,0.07,250,0.25,0.01,BayesYJ,0.9595
1,0.07,500,0.25,0.01,BayesYJ,1
1,0.07,1000,0.25,0.01,BayesYJ,1
1,0.13,50,0.25,0.01,BayesYJ,0.4845
1,0.13,100,0.25,0.01,BayesYJ,0.87943972
1,0.13,150,0.25,0.01,BayesYJ,0.977988994
1,0.13,250,0.25,0.01,BayesYJ,0.9995
1,0.13,500,0.25,0.01,BayesYJ,1
1,0.13,1000,0.25,0.01,BayesYJ,1
1,0.26,50,0.25,0.01,BayesYJ,0.909
1,0.26,100,0.25,0.01,BayesYJ,0.9985
1,0.26,150,0.25,0.01,BayesYJ,1
1,0.26,250,0.25,0.01,BayesYJ,1
1,0.26,500,0.25,0.01,BayesYJ,1
1,0.26,1000,0.25,0.01,BayesYJ,1
1,0.02,50,0.15,0.01,Bayes,0.044
1,0.02,100,0.15,0.01,Bayes,0.0985
1,0.02,150,0.15,0.01,Bayes,0.14716223
1,0.02,250,0.15,0.01,Bayes,0.292964824
1,0.02,500,0.15,0.01,Bayes,0.601007557
1,0.02,1000,0.15,0.01,Bayes,0.921291625
1,0.07,50,0.15,0.01,Bayes,0.1895
1,0.07,100,0.15,0.01,Bayes,0.435
1,0.07,150,0.15,0.01,Bayes,0.657286432
1,0.07,250,0.15,0.01,Bayes,0.901507538
1,0.07,500,0.15,0.01,Bayes,0.99697733
1,0.07,1000,0.15,0.01,Bayes,1
1,0.13,50,0.15,0.01,Bayes,0.379
1,0.13,100,0.15,0.01,Bayes,0.784
1,0.13,150,0.15,0.01,Bayes,0.929648241
1,0.13,250,0.15,0.01,Bayes,0.996983409
1,0.13,500,0.15,0.01,Bayes,1
1,0.13,1000,0.15,0.01,Bayes,1
1,0.26,50,0.15,0.01,Bayes,0.8385
1,0.26,100,0.15,0.01,Bayes,0.990495248
1,0.26,150,0.15,0.01,Bayes,0.998994975
1,0.26,250,0.15,0.01,Bayes,1
1,0.26,500,0.15,0.01,Bayes,1
1,0.26,1000,0.15,0.01,Bayes,1
1,0.02,50,0.25,0.01,Bayes,0.045
1,0.02,100,0.25,0.01,Bayes,0.1105
1,0.02,150,0.25,0.01,Bayes,0.164239076
1,0.02,250,0.25,0.01,Bayes,0.31959799
1,0.02,500,0.25,0.01,Bayes,0.63627204
1,0.02,1000,0.25,0.01,Bayes,0.943995964
1,0.07,50,0.25,0.01,Bayes,0.1995
1,0.07,100,0.25,0.01,Bayes,0.4685
1,0.07,150,0.25,0.01,Bayes,0.687939698
1,0.07,250,0.25,0.01,Bayes,0.924623116
1,0.07,500,0.25,0.01,Bayes,0.998992443
1,0.07,1000,0.25,0.01,Bayes,1
1,0.13,50,0.25,0.01,Bayes,0.4075
1,0.13,100,0.25,0.01,Bayes,0.812406203
1,0.13,150,0.25,0.01,Bayes,0.946231156
1,0.13,250,0.25,0.01,Bayes,0.998490946
1,0.13,500,0.25,0.01,Bayes,1
1,0.13,1000,0.25,0.01,Bayes,1
1,0.26,50,0.25,0.01,Bayes,0.8595
1,0.26,100,0.25,0.01,Bayes,0.992996498
1,0.26,150,0.25,0.01,Bayes,0.999497487
1,0.26,250,0.25,0.01,Bayes,1
1,0.26,500,0.25,0.01,Bayes,1
1,0.26,1000,0.25,0.01,Bayes,1
2,0.02,50,0.15,0.1,Theory,0.220073045
2,0.02,100,0.15,0.1,Theory,0.339014399
2,0.02,150,0.15,0.1,Theory,0.450150944
2,0.02,250,0.15,0.1,Theory,0.636412817
2,0.02,500,0.15,0.1,Theory,0.893140462
2,0.02,1000,0.15,0.1,Theory,0.994322643
2,0.07,50,0.15,0.1,Theory,0.52008653
2,0.07,100,0.15,0.1,Theory,0.790961759
2,0.07,150,0.15,0.1,Theory,0.919790873
2,0.07,250,0.15,0.1,Theory,0.990756997
2,0.07,500,0.15,0.1,Theory,0.999981244
2,0.07,1000,0.15,0.1,Theory,1
2,0.13,50,0.15,0.1,Theory,0.788157097
2,0.13,100,0.15,0.1,Theory,0.970929631
2,0.13,150,0.15,0.1,Theory,0.996965797
2,0.13,250,0.15,0.1,Theory,0.999979332
2,0.13,500,0.15,0.1,Theory,1
2,0.13,1000,0.15,0.1,Theory,1
2,0.26,50,0.15,0.1,Theory,0.986534147
2,0.26,100,0.15,0.1,Theory,0.999955332
2,0.26,150,0.15,0.1,Theory,0.999999917
2,0.26,250,0.15,0.1,Theory,1
2,0.26,500,0.15,0.1,Theory,1
2,0.26,1000,0.15,0.1,Theory,1
2,0.02,50,0.25,0.1,Theory,0.220073045
2,0.02,100,0.25,0.1,Theory,0.339014399
2,0.02,150,0.25,0.1,Theory,0.450150944
2,0.02,250,0.25,0.1,Theory,0.636412817
2,0.02,500,0.25,0.1,Theory,0.893140462
2,0.02,1000,0.25,0.1,Theory,0.994322643
2,0.07,50,0.25,0.1,Theory,0.52008653
2,0.07,100,0.25,0.1,Theory,0.790961759
2,0.07,150,0.25,0.1,Theory,0.919790873
2,0.07,250,0.25,0.1,Theory,0.990756997
2,0.07,500,0.25,0.1,Theory,0.999981244
2,0.07,1000,0.25,0.1,Theory,1
2,0.13,50,0.25,0.1,Theory,0.788157097
2,0.13,100,0.25,0.1,Theory,0.970929631
2,0.13,150,0.25,0.1,Theory,0.996965797
2,0.13,250,0.25,0.1,Theory,0.999979332
2,0.13,500,0.25,0.1,Theory,1
2,0.13,1000,0.25,0.1,Theory,1
2,0.26,50,0.25,0.1,Theory,0.986534147
2,0.26,100,0.25,0.1,Theory,0.999955332
2,0.26,150,0.25,0.1,Theory,0.999999917
2,0.26,250,0.25,0.1,Theory,1
2,0.26,500,0.25,0.1,Theory,1
2,0.26,1000,0.25,0.1,Theory,1
2,0.02,50,0.15,0.1,MLR,0.2545
2,0.02,100,0.15,0.1,MLR,0.337168584
2,0.02,150,0.15,0.1,MLR,0.418
2,0.02,250,0.15,0.1,MLR,0.573
2,0.02,500,0.15,0.1,MLR,0.84092046
2,0.02,1000,0.15,0.1,MLR,0.979458918
2,0.07,50,0.15,0.1,MLR,0.4995
2,0.07,100,0.15,0.1,MLR,0.71985993
2,0.07,150,0.15,0.1,MLR,0.872936468
2,0.07,250,0.15,0.1,MLR,0.969
2,0.07,500,0.15,0.1,MLR,1
2,0.07,1000,0.15,0.1,MLR,1
2,0.13,50,0.15,0.1,MLR,0.735867934
2,0.13,100,0.15,0.1,MLR,0.939469735
2,0.13,150,0.15,0.1,MLR,0.984
2,0.13,250,0.15,0.1,MLR,1
2,0.13,500,0.15,0.1,MLR,1
2,0.13,1000,0.15,0.1,MLR,1
2,0.26,50,0.15,0.1,MLR,0.95897949
2,0.26,100,0.15,0.1,MLR,0.997998999
2,0.26,150,0.15,0.1,MLR,1
2,0.26,250,0.15,0.1,MLR,1
2,0.26,500,0.15,0.1,MLR,1
2,0.26,1000,0.15,0.1,MLR,1
2,0.02,50,0.25,0.1,MLR,0.2655
2,0.02,100,0.25,0.1,MLR,0.350175088
2,0.02,150,0.25,0.1,MLR,0.436
2,0.02,250,0.25,0.1,MLR,0.6005
2,0.02,500,0.25,0.1,MLR,0.861930965
2,0.02,1000,0.25,0.1,MLR,0.986466165
2,0.07,50,0.25,0.1,MLR,0.529764882
2,0.07,100,0.25,0.1,MLR,0.750875438
2,0.07,150,0.25,0.1,MLR,0.889444722
2,0.07,250,0.25,0.1,MLR,0.9765
2,0.07,500,0.25,0.1,MLR,1
2,0.07,1000,0.25,0.1,MLR,1
2,0.13,50,0.25,0.1,MLR,0.756878439
2,0.13,100,0.25,0.1,MLR,0.950975488
2,0.13,150,0.25,0.1,MLR,0.987
2,0.13,250,0.25,0.1,MLR,1
2,0.13,500,0.25,0.1,MLR,1
2,0.13,1000,0.25,0.1,MLR,1
2,0.26,50,0.25,0.1,MLR,0.967983992
2,0.26,100,0.25,0.1,MLR,0.99949975
2,0.26,150,0.25,0.1,MLR,1
2,0.26,250,0.25,0.1,MLR,1
2,0.26,500,0.25,0.1,MLR,1
2,0.26,1000,0.25,0.1,MLR,1
2,0.02,50,0.15,0.1,ML,0.2305
2,0.02,100,0.15,0.1,ML,0.31965983
2,0.02,150,0.15,0.1,ML,0.4
2,0.02,250,0.15,0.1,ML,0.5565
2,0.02,500,0.15,0.1,ML,0.831415708
2,0.02,1000,0.15,0.1,ML,0.980460922
2,0.07,50,0.15,0.1,ML,0.485
2,0.07,100,0.15,0.1,ML,0.704852426
2,0.07,150,0.15,0.1,ML,0.868434217
2,0.07,250,0.15,0.1,ML,0.9665
2,0.07,500,0.15,0.1,ML,1
2,0.07,1000,0.15,0.1,ML,1
2,0.13,50,0.15,0.1,ML,0.724862431
2,0.13,100,0.15,0.1,ML,0.925462731
2,0.13,150,0.15,0.1,ML,0.9885
2,0.13,250,0.15,0.1,ML,1
2,0.13,500,0.15,0.1,ML,1
2,0.13,1000,0.15,0.1,ML,1
2,0.26,50,0.15,0.1,ML,0.957478739
2,0.26,100,0.15,0.1,ML,0.99849925
2,0.26,150,0.15,0.1,ML,1
2,0.26,250,0.15,0.1,ML,1
2,0.26,500,0.15,0.1,ML,1
2,0.26,1000,0.15,0.1,ML,1
2,0.02,50,0.25,0.1,ML,0.24
2,0.02,100,0.25,0.1,ML,0.332666333
2,0.02,150,0.25,0.1,ML,0.4185
2,0.02,250,0.25,0.1,ML,0.582
2,0.02,500,0.25,0.1,ML,0.853426713
2,0.02,1000,0.25,0.1,ML,0.987969925
2,0.07,50,0.25,0.1,ML,0.501250625
2,0.07,100,0.25,0.1,ML,0.726363182
2,0.07,150,0.25,0.1,ML,0.885442721
2,0.07,250,0.25,0.1,ML,0.972
2,0.07,500,0.25,0.1,ML,1
2,0.07,1000,0.25,0.1,ML,1
2,0.13,50,0.25,0.1,ML,0.748874437
2,0.13,100,0.25,0.1,ML,0.942471236
2,0.13,150,0.25,0.1,ML,0.991
2,0.13,250,0.25,0.1,ML,1
2,0.13,500,0.25,0.1,ML,1
2,0.13,1000,0.25,0.1,ML,1
2,0.26,50,0.25,0.1,ML,0.964982491
2,0.26,100,0.25,0.1,ML,0.9989995
2,0.26,150,0.25,0.1,ML,1
2,0.26,250,0.25,0.1,ML,1
2,0.26,500,0.25,0.1,ML,1
2,0.26,1000,0.25,0.1,ML,1
2,0.02,50,0.15,0.1,BayesYJ,0.186
2,0.02,100,0.15,0.1,BayesYJ,0.328664332
2,0.02,150,0.15,0.1,BayesYJ,0.432
2,0.02,250,0.15,0.1,BayesYJ,0.6385
2,0.02,500,0.15,0.1,BayesYJ,0.897948974
2,0.02,1000,0.15,0.1,BayesYJ,0.99248497
2,0.07,50,0.15,0.1,BayesYJ,0.4785
2,0.07,100,0.15,0.1,BayesYJ,0.747873937
2,0.07,150,0.15,0.1,BayesYJ,0.911455728
2,0.07,250,0.15,0.1,BayesYJ,0.9855
2,0.07,500,0.15,0.1,BayesYJ,1
2,0.07,1000,0.15,0.1,BayesYJ,1
2,0.13,50,0.15,0.1,BayesYJ,0.741370685
2,0.13,100,0.15,0.1,BayesYJ,0.966483242
2,0.13,150,0.15,0.1,BayesYJ,0.9935
2,0.13,250,0.15,0.1,BayesYJ,1
2,0.13,500,0.15,0.1,BayesYJ,1
2,0.13,1000,0.15,0.1,BayesYJ,1
2,0.26,50,0.15,0.1,BayesYJ,0.963981991
2,0.26,100,0.15,0.1,BayesYJ,0.99949975
2,0.26,150,0.15,0.1,BayesYJ,1
2,0.26,250,0.15,0.1,BayesYJ,1
2,0.26,500,0.15,0.1,BayesYJ,1
2,0.26,1000,0.15,0.1,BayesYJ,1
2,0.02,50,0.25,0.1,BayesYJ,0.187
2,0.02,100,0.25,0.1,BayesYJ,0.328664332
2,0.02,150,0.25,0.1,BayesYJ,0.4315
2,0.02,250,0.25,0.1,BayesYJ,0.6385
2,0.02,500,0.25,0.1,BayesYJ,0.897948974
2,0.02,1000,0.25,0.1,BayesYJ,0.992982456
2,0.07,50,0.25,0.1,BayesYJ,0.47973987
2,0.07,100,0.25,0.1,BayesYJ,0.748874437
2,0.07,150,0.25,0.1,BayesYJ,0.911455728
2,0.07,250,0.25,0.1,BayesYJ,0.9855
2,0.07,500,0.25,0.1,BayesYJ,1
2,0.07,1000,0.25,0.1,BayesYJ,1
2,0.13,50,0.25,0.1,BayesYJ,0.741870935
2,0.13,100,0.25,0.1,BayesYJ,0.966483242
2,0.13,150,0.25,0.1,BayesYJ,0.9935
2,0.13,250,0.25,0.1,BayesYJ,1
2,0.13,500,0.25,0.1,BayesYJ,1
2,0.13,1000,0.25,0.1,BayesYJ,1
2,0.26,50,0.25,0.1,BayesYJ,0.963981991
2,0.26,100,0.25,0.1,BayesYJ,0.99949975
2,0.26,150,0.25,0.1,BayesYJ,1
2,0.26,250,0.25,0.1,BayesYJ,1
2,0.26,500,0.25,0.1,BayesYJ,1
2,0.26,1000,0.25,0.1,BayesYJ,1
2,0.02,50,0.15,0.1,Bayes,0.1765
2,0.02,100,0.15,0.1,Bayes,0.289579158
2,0.02,150,0.15,0.1,Bayes,0.38040201
2,0.02,250,0.15,0.1,Bayes,0.541247485
2,0.02,500,0.15,0.1,Bayes,0.827116935
2,0.02,1000,0.15,0.1,Bayes,0.980827447
2,0.07,50,0.15,0.1,Bayes,0.4215
2,0.07,100,0.15,0.1,Bayes,0.673847695
2,0.07,150,0.15,0.1,Bayes,0.852187029
2,0.07,250,0.15,0.1,Bayes,0.965794769
2,0.07,500,0.15,0.1,Bayes,1
2,0.07,1000,0.15,0.1,Bayes,1
2,0.13,50,0.15,0.1,Bayes,0.672
2,0.13,100,0.15,0.1,Bayes,0.915831663
2,0.13,150,0.15,0.1,Bayes,0.987437186
2,0.13,250,0.15,0.1,Bayes,1
2,0.13,500,0.15,0.1,Bayes,1
2,0.13,1000,0.15,0.1,Bayes,1
2,0.26,50,0.15,0.1,Bayes,0.9365
2,0.26,100,0.15,0.1,Bayes,0.99749499
2,0.26,150,0.15,0.1,Bayes,1
2,0.26,250,0.15,0.1,Bayes,1
2,0.26,500,0.15,0.1,Bayes,1
2,0.26,1000,0.15,0.1,Bayes,1
2,0.02,50,0.25,0.1,Bayes,0.179
2,0.02,100,0.25,0.1,Bayes,0.304609218
2,0.02,150,0.25,0.1,Bayes,0.397487437
2,0.02,250,0.25,0.1,Bayes,0.564889336
2,0.02,500,0.25,0.1,Bayes,0.848790323
2,0.02,1000,0.25,0.1,Bayes,0.985368315
2,0.07,50,0.25,0.1,Bayes,0.443
2,0.07,100,0.25,0.1,Bayes,0.696893788
2,0.07,150,0.25,0.1,Bayes,0.876319759
2,0.07,250,0.25,0.1,Bayes,0.970321932
2,0.07,500,0.25,0.1,Bayes,1
2,0.07,1000,0.25,0.1,Bayes,1
2,0.13,50,0.25,0.1,Bayes,0.6945
2,0.13,100,0.25,0.1,Bayes,0.929358717
2,0.13,150,0.25,0.1,Bayes,0.988944724
2,0.13,250,0.25,0.1,Bayes,1
2,0.13,500,0.25,0.1,Bayes,1
2,0.13,1000,0.25,0.1,Bayes,1
2,0.26,50,0.25,0.1,Bayes,0.9495
2,0.26,100,0.25,0.1,Bayes,0.998997996
2,0.26,150,0.25,0.1,Bayes,1
2,0.26,250,0.25,0.1,Bayes,1
2,0.26,500,0.25,0.1,Bayes,1
2,0.26,1000,0.25,0.1,Bayes,1
2,0.02,50,0.15,0.05,Theory,0.134530083
2,0.02,100,0.15,0.05,Theory,0.229442144
2,0.02,150,0.15,0.05,Theory,0.327376939
2,0.02,250,0.15,0.05,Theory,0.512254582
2,0.02,500,0.15,0.05,Theory,0.823594688
2,0.02,1000,0.15,0.05,Theory,0.986801744
2,0.07,50,0.15,0.05,Theory,0.393615898
2,0.07,100,0.15,0.05,Theory,0.689320978
2,0.07,150,0.15,0.05,Theory,0.862121515
2,0.07,250,0.15,0.05,Theory,0.979531356
2,0.07,500,0.15,0.05,Theory,0.999931383
2,0.07,1000,0.15,0.05,Theory,1
2,0.13,50,0.15,0.05,Theory,0.685865903
2,0.13,100,0.15,0.05,Theory,0.943189432
2,0.13,150,0.15,0.05,Theory,0.992515953
2,0.13,250,0.15,0.05,Theory,0.999924879
2,0.13,500,0.15,0.05,Theory,1
2,0.13,1000,0.15,0.05,Theory,1
2,0.26,50,0.15,0.05,Theory,0.971326891
2,0.26,100,0.15,0.05,Theory,0.999845995
2,0.26,150,0.15,0.05,Theory,0.999999581
2,0.26,250,0.15,0.05,Theory,1
2,0.26,500,0.15,0.05,Theory,1
2,0.26,1000,0.15,0.05,Theory,1
2,0.02,50,0.25,0.05,Theory,0.134530083
2,0.02,100,0.25,0.05,Theory,0.229442144
2,0.02,150,0.25,0.05,Theory,0.327376939
2,0.02,250,0.25,0.05,Theory,0.512254582
2,0.02,500,0.25,0.05,Theory,0.823594688
2,0.02,1000,0.25,0.05,Theory,0.986801744
2,0.07,50,0.25,0.05,Theory,0.393615898
2,0.07,100,0.25,0.05,Theory,0.689320978
2,0.07,150,0.25,0.05,Theory,0.862121515
2,0.07,250,0.25,0.05,Theory,0.979531356
2,0.07,500,0.25,0.05,Theory,0.999931383
2,0.07,1000,0.25,0.05,Theory,1
2,0.13,50,0.25,0.05,Theory,0.685865903
2,0.13,100,0.25,0.05,Theory,0.943189432
2,0.13,150,0.25,0.05,Theory,0.992515953
2,0.13,250,0.25,0.05,Theory,0.999924879
2,0.13,500,0.25,0.05,Theory,1
2,0.13,1000,0.25,0.05,Theory,1
2,0.26,50,0.25,0.05,Theory,0.971326891
2,0.26,100,0.25,0.05,Theory,0.999845995
2,0.26,150,0.25,0.05,Theory,0.999999581
2,0.26,250,0.25,0.05,Theory,1
2,0.26,500,0.25,0.05,Theory,1
2,0.26,1000,0.25,0.05,Theory,1
2,0.02,50,0.15,0.05,MLR,0.1535
2,0.02,100,0.15,0.05,MLR,0.215607804
2,0.02,150,0.15,0.05,MLR,0.301
2,0.02,250,0.15,0.05,MLR,0.4265
2,0.02,500,0.15,0.05,MLR,0.736868434
2,0.02,1000,0.15,0.05,MLR,0.960921844
2,0.07,50,0.15,0.05,MLR,0.39
2,0.07,100,0.15,0.05,MLR,0.591795898
2,0.07,150,0.15,0.05,MLR,0.796398199
2,0.07,250,0.15,0.05,MLR,0.943
2,0.07,500,0.15,0.05,MLR,0.999499499
2,0.07,1000,0.15,0.05,MLR,1
2,0.13,50,0.15,0.05,MLR,0.627313657
2,0.13,100,0.15,0.05,MLR,0.867933967
2,0.13,150,0.15,0.05,MLR,0.9715
2,0.13,250,0.15,0.05,MLR,0.9995
2,0.13,500,0.15,0.05,MLR,1
2,0.13,1000,0.15,0.05,MLR,1
2,0.26,50,0.15,0.05,MLR,0.915957979
2,0.26,100,0.15,0.05,MLR,0.992496248
2,0.26,150,0.15,0.05,MLR,1
2,0.26,250,0.15,0.05,MLR,1
2,0.26,500,0.15,0.05,MLR,1
2,0.26,1000,0.15,0.05,MLR,1
2,0.02,50,0.25,0.05,MLR,0.1615
2,0.02,100,0.25,0.05,MLR,0.237118559
2,0.02,150,0.25,0.05,MLR,0.3155
2,0.02,250,0.25,0.05,MLR,0.4645
2,0.02,500,0.25,0.05,MLR,0.768384192
2,0.02,1000,0.25,0.05,MLR,0.972431078
2,0.07,50,0.25,0.05,MLR,0.411705853
2,0.07,100,0.25,0.05,MLR,0.627313657
2,0.07,150,0.25,0.05,MLR,0.816408204
2,0.07,250,0.25,0.05,MLR,0.9565
2,0.07,500,0.25,0.05,MLR,1
2,0.07,1000,0.25,0.05,MLR,1
2,0.13,50,0.25,0.05,MLR,0.663331666
2,0.13,100,0.25,0.05,MLR,0.896948474
2,0.13,150,0.25,0.05,MLR,0.977
2,0.13,250,0.25,0.05,MLR,0.9995
2,0.13,500,0.25,0.05,MLR,1
2,0.13,1000,0.25,0.05,MLR,1
2,0.26,50,0.25,0.05,MLR,0.935467734
2,0.26,100,0.25,0.05,MLR,0.995997999
2,0.26,150,0.25,0.05,MLR,1
2,0.26,250,0.25,0.05,MLR,1
2,0.26,500,0.25,0.05,MLR,1
2,0.26,1000,0.25,0.05,MLR,1
2,0.02,50,0.15,0.05,ML,0.14
2,0.02,100,0.15,0.05,ML,0.213106553
2,0.02,150,0.15,0.05,ML,0.2895
2,0.02,250,0.15,0.05,ML,0.415
2,0.02,500,0.15,0.05,ML,0.740870435
2,0.02,1000,0.15,0.05,ML,0.958416834
2,0.07,50,0.15,0.05,ML,0.371
2,0.07,100,0.15,0.05,ML,0.582291146
2,0.07,150,0.15,0.05,ML,0.793396698
2,0.07,250,0.15,0.05,ML,0.94
2,0.07,500,0.15,0.05,ML,0.998998999
2,0.07,1000,0.15,0.05,ML,1
2,0.13,50,0.15,0.05,ML,0.615807904
2,0.13,100,0.15,0.05,ML,0.873436718
2,0.13,150,0.15,0.05,ML,0.975
2,0.13,250,0.15,0.05,ML,0.999
2,0.13,500,0.15,0.05,ML,1
2,0.13,1000,0.15,0.05,ML,1
2,0.26,50,0.15,0.05,ML,0.916458229
2,0.26,100,0.15,0.05,ML,0.995997999
2,0.26,150,0.15,0.05,ML,1
2,0.26,250,0.15,0.05,ML,1
2,0.26,500,0.15,0.05,ML,1
2,0.26,1000,0.15,0.05,ML,1
2,0.02,50,0.25,0.05,ML,0.145
2,0.02,100,0.25,0.05,ML,0.219609805
2,0.02,150,0.25,0.05,ML,0.3025
2,0.02,250,0.25,0.05,ML,0.4455
2,0.02,500,0.25,0.05,ML,0.773886943
2,0.02,1000,0.25,0.05,ML,0.971929825
2,0.07,50,0.25,0.05,ML,0.389694847
2,0.07,100,0.25,0.05,ML,0.614807404
2,0.07,150,0.25,0.05,ML,0.821910955
2,0.07,250,0.25,0.05,ML,0.9545
2,0.07,500,0.25,0.05,ML,1
2,0.07,1000,0.25,0.05,ML,1
2,0.13,50,0.25,0.05,ML,0.649324662
2,0.13,100,0.25,0.05,ML,0.893446723
2,0.13,150,0.25,0.05,ML,0.982
2,0.13,250,0.25,0.05,ML,1
2,0.13,500,0.25,0.05,ML,1
2,0.13,1000,0.25,0.05,ML,1
2,0.26,50,0.25,0.05,ML,0.931465733
2,0.26,100,0.25,0.05,ML,0.997998999
2,0.26,150,0.25,0.05,ML,1
2,0.26,250,0.25,0.05,ML,1
2,0.26,500,0.25,0.05,ML,1
2,0.26,1000,0.25,0.05,ML,1
2,0.02,50,0.15,0.05,BayesYJ,0.1045
2,0.02,100,0.15,0.05,BayesYJ,0.219109555
2,0.02,150,0.15,0.05,BayesYJ,0.3005
2,0.02,250,0.15,0.05,BayesYJ,0.5125
2,0.02,500,0.15,0.05,BayesYJ,0.830415208
2,0.02,1000,0.15,0.05,BayesYJ,0.985971944
2,0.07,50,0.15,0.05,BayesYJ,0.362
2,0.07,100,0.15,0.05,BayesYJ,0.633816908
