numX,Rsq,N,Lambda,Alpha,Type,Power
1,0.13,1000,0.15,0.1,ML,1
1,0.26,50,0.15,0.1,ML,0.9755
1,0.26,100,0.15,0.1,ML,1
1,0.26,150,0.15,0.1,ML,1
1,0.26,250,0.15,0.1,ML,1
1,0.26,500,0.15,0.1,ML,1
1,0.26,1000,0.15,0.1,ML,1
1,0.02,50,0.25,0.1,ML,0.2715
1,0.02,100,0.25,0.1,ML,0.3825
1,0.02,150,0.25,0.1,ML,0.4955
1,0.02,250,0.25,0.1,ML,0.6805
1,0.02,500,0.25,0.1,ML,0.902951476
1,0.02,1000,0.25,0.1,ML,0.994488978
1,0.07,50,0.25,0.1,ML,0.56
1,0.07,100,0.25,0.1,ML,0.815407704
1,0.07,150,0.25,0.1,ML,0.923461731
1,0.07,250,0.25,0.1,ML,0.99
1,0.07,500,0.25,0.1,ML,1
1,0.07,1000,0.25,0.1,ML,1
1,0.13,50,0.25,0.1,ML,0.8065
1,0.13,100,0.25,0.1,ML,0.971485743
1,0.13,150,0.25,0.1,ML,0.995497749
1,0.13,250,0.25,0.1,ML,1
1,0.13,500,0.25,0.1,ML,1
1,0.13,1000,0.25,0.1,ML,1
1,0.26,50,0.25,0.1,ML,0.981
1,0.26,100,0.25,0.1,ML,1
1,0.26,150,0.25,0.1,ML,1
1,0.26,250,0.25,0.1,ML,1
1,0.26,500,0.25,0.1,ML,1
1,0.26,1000,0.25,0.1,ML,1
1,0.02,50,0.15,0.1,BayesYJ,0.251
1,0.02,100,0.15,0.1,BayesYJ,0.40070035
1,0.02,150,0.15,0.1,BayesYJ,0.5185
1,0.02,250,0.15,0.1,BayesYJ,0.728
1,0.02,500,0.15,0.1,BayesYJ,0.928964482
1,0.02,1000,0.15,0.1,BayesYJ,0.99749499
1,0.07,50,0.15,0.1,BayesYJ,0.5795
1,0.07,100,0.15,0.1,BayesYJ,0.851425713
1,0.07,150,0.15,0.1,BayesYJ,0.945472736
1,0.07,250,0.15,0.1,BayesYJ,0.996
1,0.07,500,0.15,0.1,BayesYJ,1
1,0.07,1000,0.15,0.1,BayesYJ,1
1,0.13,50,0.15,0.1,BayesYJ,0.8155
1,0.13,100,0.15,0.1,BayesYJ,0.981490745
1,0.13,150,0.15,0.1,BayesYJ,0.9995
1,0.13,250,0.15,0.1,BayesYJ,1
1,0.13,500,0.15,0.1,BayesYJ,1
1,0.13,1000,0.15,0.1,BayesYJ,1
1,0.26,50,0.15,0.1,BayesYJ,0.986
1,0.26,100,0.15,0.1,BayesYJ,1
1,0.26,150,0.15,0.1,BayesYJ,1
1,0.26,250,0.15,0.1,BayesYJ,1
1,0.26,500,0.15,0.1,BayesYJ,1
1,0.26,1000,0.15,0.1,BayesYJ,1
1,0.02,50,0.25,0.1,BayesYJ,0.251
1,0.02,100,0.25,0.1,BayesYJ,0.4015
1,0.02,150,0.25,0.1,BayesYJ,0.518
1,0.02,250,0.25,0.1,BayesYJ,0.7275
1,0.02,500,0.25,0.1,BayesYJ,0.928964482
1,0.02,1000,0.25,0.1,BayesYJ,0.99749499
1,0.07,50,0.25,0.1,BayesYJ,0.579
1,0.07,100,0.25,0.1,BayesYJ,0.851925963
1,0.07,150,0.25,0.1,BayesYJ,0.945972986
1,0.07,250,0.25,0.1,BayesYJ,0.996
1,0.07,500,0.25,0.1,BayesYJ,1
1,0.07,1000,0.25,0.1,BayesYJ,1
1,0.13,50,0.25,0.1,BayesYJ,0.815
1,0.13,100,0.25,0.1,BayesYJ,0.980990495
1,0.13,150,0.25,0.1,BayesYJ,0.99949975
1,0.13,250,0.25,0.1,BayesYJ,1
1,0.13,500,0.25,0.1,BayesYJ,1
1,0.13,1000,0.25,0.1,BayesYJ,1
1,0.26,50,0.25,0.1,BayesYJ,0.986
1,0.26,100,0.25,0.1,BayesYJ,1
1,0.26,150,0.25,0.1,BayesYJ,1
1,0.26,250,0.25,0.1,BayesYJ,1
1,0.26,500,0.25,0.1,BayesYJ,1
1,0.26,1000,0.25,0.1,BayesYJ,1
1,0.02,50,0.15,0.1,Bayes,0.2345
1,0.02,100,0.15,0.1,Bayes,0.352
1,0.02,150,0.15,0.1,Bayes,0.456554495
1,0.02,250,0.15,0.1,Bayes,0.645728643
1,0.02,500,0.15,0.1,Bayes,0.882115869
1,0.02,1000,0.15,0.1,Bayes,0.990918264
1,0.07,50,0.15,0.1,Bayes,0.498
1,0.07,100,0.15,0.1,Bayes,0.781
1,0.07,150,0.15,0.1,Bayes,0.900502513
1,0.07,250,0.15,0.1,Bayes,0.985427136
1,0.07,500,0.15,0.1,Bayes,1
1,0.07,1000,0.15,0.1,Bayes,1
1,0.13,50,0.15,0.1,Bayes,0.751
1,0.13,100,0.15,0.1,Bayes,0.963
1,0.13,150,0.15,0.1,Bayes,0.993467337
1,0.13,250,0.15,0.1,Bayes,0.999497235
1,0.13,500,0.15,0.1,Bayes,1
1,0.13,1000,0.15,0.1,Bayes,1
1,0.26,50,0.15,0.1,Bayes,0.9715
1,0.26,100,0.15,0.1,Bayes,1
1,0.26,150,0.15,0.1,Bayes,1
1,0.26,250,0.15,0.1,Bayes,1
1,0.26,500,0.15,0.1,Bayes,1
1,0.26,1000,0.15,0.1,Bayes,1
1,0.02,50,0.25,0.1,Bayes,0.243
1,0.02,100,0.25,0.1,Bayes,0.368
1,0.02,150,0.25,0.1,Bayes,0.476644902
1,0.02,250,0.25,0.1,Bayes,0.675376884
1,0.02,500,0.25,0.1,Bayes,0.902770781
1,0.02,1000,0.25,0.1,Bayes,0.99394551
1,0.07,50,0.25,0.1,Bayes,0.518
1,0.07,100,0.25,0.1,Bayes,0.8055
1,0.07,150,0.25,0.1,Bayes,0.918090452
1,0.07,250,0.25,0.1,Bayes,0.989447236
1,0.07,500,0.25,0.1,Bayes,1
1,0.07,1000,0.25,0.1,Bayes,1
1,0.13,50,0.25,0.1,Bayes,0.7725
1,0.13,100,0.25,0.1,Bayes,0.967483742
1,0.13,150,0.25,0.1,Bayes,0.994472362
1,0.13,250,0.25,0.1,Bayes,1
1,0.13,500,0.25,0.1,Bayes,1
1,0.13,1000,0.25,0.1,Bayes,1
1,0.26,50,0.25,0.1,Bayes,0.976
1,0.26,100,0.25,0.1,Bayes,1
1,0.26,150,0.25,0.1,Bayes,1
1,0.26,250,0.25,0.1,Bayes,1
1,0.26,500,0.25,0.1,Bayes,1
1,0.26,1000,0.25,0.1,Bayes,1
1,0.02,50,0.15,0.05,Theory,0.17259247
1,0.02,100,0.15,0.05,Theory,0.297924724
1,0.02,150,0.15,0.05,Theory,0.416809458
1,0.02,250,0.15,0.05,Theory,0.617468161
1,0.02,500,0.15,0.05,Theory,0.891476691
1,0.02,1000,0.15,0.05,Theory,0.994729767
1,0.07,50,0.15,0.05,Theory,0.492067803
1,0.07,100,0.15,0.05,Theory,0.783349858
1,0.07,150,0.15,0.05,Theory,0.919264882
1,0.07,250,0.15,0.05,Theory,0.991294609
1,0.07,500,0.15,0.05,Theory,0.999985083
1,0.07,1000,0.15,0.05,Theory,1
1,0.13,50,0.15,0.05,Theory,0.780357725
1,0.13,100,0.15,0.05,Theory,0.97164847
1,0.13,150,0.15,0.05,Theory,0.997234451
1,0.13,250,0.15,0.05,Theory,0.999983522
1,0.13,500,0.15,0.05,Theory,1
1,0.13,1000,0.15,0.05,Theory,1
1,0.26,50,0.15,0.05,Theory,0.987172818
1,0.26,100,0.15,0.05,Theory,0.999963689
1,0.26,150,0.15,0.05,Theory,0.999999942
1,0.26,250,0.15,0.05,Theory,1
1,0.26,500,0.15,0.05,Theory,1
1,0.26,1000,0.15,0.05,Theory,1
1,0.02,50,0.25,0.05,Theory,0.17259247
1,0.02,100,0.25,0.05,Theory,0.297924724
1,0.02,150,0.25,0.05,Theory,0.416809458
1,0.02,250,0.25,0.05,Theory,0.617468161
1,0.02,500,0.25,0.05,Theory,0.891476691
1,0.02,1000,0.25,0.05,Theory,0.994729767
1,0.07,50,0.25,0.05,Theory,0.492067803
1,0.07,100,0.25,0.05,Theory,0.783349858
1,0.07,150,0.25,0.05,Theory,0.919264882
1,0.07,250,0.25,0.05,Theory,0.991294609
1,0.07,500,0.25,0.05,Theory,0.999985083
1,0.07,1000,0.25,0.05,Theory,1
1,0.13,50,0.25,0.05,Theory,0.780357725
1,0.13,100,0.25,0.05,Theory,0.97164847
1,0.13,150,0.25,0.05,Theory,0.997234451
1,0.13,250,0.25,0.05,Theory,0.999983522
1,0.13,500,0.25,0.05,Theory,1
1,0.13,1000,0.25,0.05,Theory,1
1,0.26,50,0.25,0.05,Theory,0.987172818
1,0.26,100,0.25,0.05,Theory,0.999963689
1,0.26,150,0.25,0.05,Theory,0.999999942
1,0.26,250,0.25,0.05,Theory,1
1,0.26,500,0.25,0.05,Theory,1
1,0.26,1000,0.25,0.05,Theory,1
1,0.02,50,0.15,0.05,MLR,0.179
1,0.02,100,0.15,0.05,MLR,0.27863932
1,0.02,150,0.15,0.05,MLR,0.36
1,0.02,250,0.15,0.05,MLR,0.548
1,0.02,500,0.15,0.05,MLR,0.814407204
1,0.02,1000,0.15,0.05,MLR,0.983466934
1,0.07,50,0.15,0.05,MLR,0.447
1,0.07,100,0.15,0.05,MLR,0.715357679
1,0.07,150,0.15,0.05,MLR,0.851925963
1,0.07,250,0.15,0.05,MLR,0.977
1,0.07,500,0.15,0.05,MLR,0.99949975
1,0.07,1000,0.15,0.05,MLR,1
1,0.13,50,0.15,0.05,MLR,0.69
1,0.13,100,0.15,0.05,MLR,0.926963482
1,0.13,150,0.15,0.05,MLR,0.988
1,0.13,250,0.15,0.05,MLR,0.9995
1,0.13,500,0.15,0.05,MLR,1
1,0.13,1000,0.15,0.05,MLR,1
1,0.26,50,0.15,0.05,MLR,0.9525
1,0.26,100,0.15,0.05,MLR,0.9985
1,0.26,150,0.15,0.05,MLR,0.99949975
1,0.26,250,0.15,0.05,MLR,1
1,0.26,500,0.15,0.05,MLR,1
1,0.26,1000,0.15,0.05,MLR,1
1,0.02,50,0.25,0.05,MLR,0.1915
1,0.02,100,0.25,0.05,MLR,0.2955
1,0.02,150,0.25,0.05,MLR,0.381
1,0.02,250,0.25,0.05,MLR,0.573
1,0.02,500,0.25,0.05,MLR,0.842421211
1,0.02,1000,0.25,0.05,MLR,0.98747495
1,0.07,50,0.25,0.05,MLR,0.4655
1,0.07,100,0.25,0.05,MLR,0.736868434
1,0.07,150,0.25,0.05,MLR,0.874437219
1,0.07,250,0.25,0.05,MLR,0.984
1,0.07,500,0.25,0.05,MLR,0.99949975
1,0.07,1000,0.25,0.05,MLR,1
1,0.13,50,0.25,0.05,MLR,0.719
1,0.13,100,0.25,0.05,MLR,0.944472236
1,0.13,150,0.25,0.05,MLR,0.991495748
1,0.13,250,0.25,0.05,MLR,0.9995
1,0.13,500,0.25,0.05,MLR,1
1,0.13,1000,0.25,0.05,MLR,1
1,0.26,50,0.25,0.05,MLR,0.963
1,0.26,100,0.25,0.05,MLR,1
1,0.26,150,0.25,0.05,MLR,1
1,0.26,250,0.25,0.05,MLR,1
1,0.26,500,0.25,0.05,MLR,1
1,0.26,1000,0.25,0.05,MLR,1
1,0.02,50,0.15,0.05,ML,0.1695
1,0.02,100,0.15,0.05,ML,0.265632816
1,0.02,150,0.15,0.05,ML,0.3565
1,0.02,250,0.15,0.05,ML,0.54
1,0.02,500,0.15,0.05,ML,0.807403702
1,0.02,1000,0.15,0.05,ML,0.98246493
1,0.07,50,0.15,0.05,ML,0.4225
1,0.07,100,0.15,0.05,ML,0.699349675
1,0.07,150,0.15,0.05,ML,0.845922961
1,0.07,250,0.15,0.05,ML,0.9735
1,0.07,500,0.15,0.05,ML,1
1,0.07,1000,0.15,0.05,ML,1
1,0.13,50,0.15,0.05,ML,0.6795
1,0.13,100,0.15,0.05,ML,0.933466733
1,0.13,150,0.15,0.05,ML,0.9865
1,0.13,250,0.15,0.05,ML,0.9995
1,0.13,500,0.15,0.05,ML,1
1,0.13,1000,0.15,0.05,ML,1
1,0.26,50,0.15,0.05,ML,0.9535
1,0.26,100,0.15,0.05,ML,0.998
1,0.26,150,0.15,0.05,ML,1
1,0.26,250,0.15,0.05,ML,1
1,0.26,500,0.15,0.05,ML,1
1,0.26,1000,0.15,0.05,ML,1
1,0.02,50,0.25,0.05,ML,0.174
1,0.02,100,0.25,0.05,ML,0.282
1,0.02,150,0.25,0.05,ML,0.3735
1,0.02,250,0.25,0.05,ML,0.567
1,0.02,500,0.25,0.05,ML,0.84092046
1,0.02,1000,0.25,0.05,ML,0.986472946
1,0.07,50,0.25,0.05,ML,0.4435
1,0.07,100,0.25,0.05,ML,0.725862931
1,0.07,150,0.25,0.05,ML,0.875437719
1,0.07,250,0.25,0.05,ML,0.9815
1,0.07,500,0.25,0.05,ML,1
1,0.07,1000,0.25,0.05,ML,1
1,0.13,50,0.25,0.05,ML,0.707
1,0.13,100,0.25,0.05,ML,0.949474737
1,0.13,150,0.25,0.05,ML,0.991495748
1,0.13,250,0.25,0.05,ML,0.9995
1,0.13,500,0.25,0.05,ML,1
1,0.13,1000,0.25,0.05,ML,1
1,0.26,50,0.25,0.05,ML,0.9635
1,0.26,100,0.25,0.05,ML,1
1,0.26,150,0.25,0.05,ML,1
1,0.26,250,0.25,0.05,ML,1
1,0.26,500,0.25,0.05,ML,1
1,0.26,1000,0.25,0.05,ML,1
1,0.02,50,0.15,0.05,BayesYJ,0.163
1,0.02,100,0.15,0.05,BayesYJ,0.288144072
1,0.02,150,0.15,0.05,BayesYJ,0.395
1,0.02,250,0.15,0.05,BayesYJ,0.615
1,0.02,500,0.15,0.05,BayesYJ,0.885442721
1,0.02,1000,0.15,0.05,BayesYJ,0.994488978
1,0.07,50,0.15,0.05,BayesYJ,0.451
1,0.07,100,0.15,0.05,BayesYJ,0.764882441
1,0.07,150,0.15,0.05,BayesYJ,0.906453227
1,0.07,250,0.15,0.05,BayesYJ,0.9895
1,0.07,500,0.15,0.05,BayesYJ,1
1,0.07,1000,0.15,0.05,BayesYJ,1
1,0.13,50,0.15,0.05,BayesYJ,0.7265
1,0.13,100,0.15,0.05,BayesYJ,0.96098049
1,0.13,150,0.15,0.05,BayesYJ,0.9965
1,0.13,250,0.15,0.05,BayesYJ,1
1,0.13,500,0.15,0.05,BayesYJ,1
1,0.13,1000,0.15,0.05,BayesYJ,1
1,0.26,50,0.15,0.05,BayesYJ,0.9715
1,0.26,100,0.15,0.05,BayesYJ,1
1,0.26,150,0.15,0.05,BayesYJ,1
1,0.26,250,0.15,0.05,BayesYJ,1
1,0.26,500,0.15,0.05,BayesYJ,1
